Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
N;AM;MANAUS;EDUARDO SILVA DAMASCENA 41365950263; 24.307.836/0001-00;RUA   FRANCISCO MELO;35;;JAPIIM;69078-500;GLP;20/04/2026;123;;R$ / 13 kg;AMAZONGÁS
CO;DF;BRASILIA;OURO GAS LTDA; 23.934.139/0001-08;QUADRA QS 5 RUA 311;.;LOTE 11;AREAL AGUAS CLARAS;71964-180;GLP;23/04/2026;94,99;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;SP;SAO PAULO;PERI PERI COMERCIO DE GÁS LTDA - EPP; 24.423.589/0001-07;AVENIDA MINISTRO LAUDO FERREIRA DE CAMARGO;167;;JARDIM PERI PERI;05537-001;GLP;22/04/2026;120;;R$ / 13 kg;BRANCA
S;RS;CACHOEIRA DO SUL;SCHLOTTFELDT & SCHLOTTFELDT LTDA; 24.566.548/0001-61;RUA DONA ODENIRA;33;;OLIVEIRA;96505-292;GLP;22/04/2026;115;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;MG;LAVRAS;RAJE GAS COMERCIO DE GAS LTDA; 23.705.813/0001-82;RUA DONATO BAUTI;137;;ARTHUR BERNARDES;37200-000;GLP;22/04/2026;106;;R$ / 13 kg;BRANCA
N;AM;MANACAPURU;E. P. O. COMERCIO DE DERIVADOS DE PETROLEO LTDA; 17.119.240/0001-02;ESTRADA MANOEL URBANO;3990;;MORADA DO SOL;69402-292;GLP;22/04/2026;135;;R$ / 13 kg;FOGAS
NE;CE;ITAPIPOCA;R G CARNEIRO; 15.419.363/0001-33;AV ANASTACIO BRAGA;3155;;CENTRO;62500-000;GLP;23/04/2026;120;;R$ / 13 kg;BAHIANA
CO;MS;DOURADOS;JOEL OZORIO SILVA EIRELI - ME; 14.216.598/0001-65;RUA BELA VISTA;995;;JARDIM ÁGUA BOA;79811-080;GLP;22/04/2026;118;;R$ / 13 kg;BRANCA
CO;GO;APARECIDA DE GOIANIA;ULTRA MAIS GAS LTDA; 23.875.520/0001-43;RUA ECOCATU;SN;QUADRA36                  LOTE  12;JARDIM HELVECIA;74933-310;GLP;21/04/2026;105;;R$ / 13 kg;BRANCA
SE;RJ;NILOPOLIS;ARRUDA AGUIAR REVENDEDORA DE GAS LTDA; 24.259.363/0001-04;ESTRADA MARECHAL CASTELO BRANCO;810;LOJA;CENTRO;26525-124;GLP;22/04/2026;122;;R$ / 13 kg;BRANCA
SE;RJ;CABO FRIO;BOMGAS DO JARDIM ESPERANCA LTDA; 24.103.444/0001-10;RUA MANOEL SILVA;13;LOTE  18 E 19;JARDIM ESPERANCA;28905-970;GLP;22/04/2026;80;;R$ / 13 kg;COPA ENERGIA
SE;ES;SERRA;C.B. DE MAGALHAES EIRELI; 24.822.578/0001-91;AVENIDA LOURIVAL NUNES;47;;JARDIM LIMOEIRO;29164-050;GLP;20/04/2026;95;;R$ / 13 kg;BRANCA
SE;SP;ASSIS;D GARCIA DE SOUZA GAS; 23.303.409/0001-82;RUA VEREADOR DAVID PASSARINHO;620;;VILA SOUZA;19804-400;GLP;22/04/2026;107,9;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;MG;CAMPO BELO;DIAS DINIZ E RODRIGUES LTDA ME; 24.899.321/0001-38;RUA CRISANTEMO;250;;AEROPORTO;37270-000;GLP;20/04/2026;115;;R$ / 13 kg;BRANCA
SE;SP;MONTE ALTO;ROGERIO VALENTE - ME; 23.713.537/0001-02;RUA RUI BARBOSA;1544;;JARDIM PAULISTA;15910-000;GLP;22/04/2026;110;;R$ / 13 kg;LIQUIGÁS
NE;MA;BALSAS;GIBAL COMERCIO DE GAS E AGUA MINERAL LTDA; 25.032.048/0001-02;AVENIDA CONTORNO;1767;QUADRA181;DE FATIMA;65800-000;GLP;22/04/2026;130;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;SP;SAO JOAO DA BOA VISTA;VANDA PEREIRA RAMOS PEREIRA 1728702830; 20.725.531/0001-59;AVENIDA PROFESSORA  ISETTE CORREA FONTAO;1390;;JARDIM DAS FLORES;13876-750;GLP;23/04/2026;115;;R$ / 13 kg;BRANCA
NE;AL;ARAPIRACA;LUIS ARTHUR DE OLIVEIRA BERTHO PEREIRA; 24.749.364/0001-37;AVENIDA ENIRALDO DE OLIVEIRA ALMEIDA (AL 110);189;LETRA A;CANAFISTULA;57302-055;GLP;21/04/2026;105;;R$ / 13 kg;MINASGAS
SE;SP;CUBATAO;KABO COMERCIO DE GAS LTDA; 24.503.290/0001-54;AVENIDA NOSSA SENHORA DE FATIMA;182;;JARDIM CASQUEIRO;11533-030;GLP;20/04/2026;120;;R$ / 13 kg;BRANCA
SE;SP;ITAPECERICA DA SERRA;DA SERRA DISTRIBUIDORA DE GAS LTDA; 24.822.560/0001-90;AVENIDA QUINZE DE NOVEMBRO;1391;;CENTRO;06850-100;GLP;23/04/2026;124,99;;R$ / 13 kg;CONSIGAZ
NE;CE;SOBRAL;C. H. NOGUEIRA COMERCIO DE GAS LTDA; 69.701.712/0008-00;RUA DO ATACADO;610;;CIDADE GERARDO CRISTINO DE MENEZES;62010-970;GLP;22/04/2026;110;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;SP;ARACATUBA;JOIA COMERCIO LTDA; 24.461.722/0001-01;AVENIDA IBIRAPUERA;1262;;PALMEIRAS;16071-165;GLP;22/04/2026;104,99;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;SP;SAO PAULO;MAXXIGÁS COMERCIAL LTDA ME; 03.480.334/0001-06;AVENIDA   MONTEMAGNO;700;;VILA FORMOSA;03371-000;GLP;23/04/2026;110;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;MG;TIMOTEO;LUCAS ASSIS FAJARDO; 24.946.837/0001-96;RUA ANTONIO SILVA;7;;QUITANDINHA;35180-071;GLP;22/04/2026;115;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;SP;PRAIA GRANDE;REDE TOP COMERCIO DE GAS LTDA; 24.534.543/0001-57;RUA LUIZ CONSERINO;80;;QUIETUDE;11718-210;GLP;20/04/2026;125;;R$ / 13 kg;ULTRAGAZ
SE;MG;JUIZ DE FORA;LUNA GAS E AGUA MINERAL LTDA ME; 24.844.590/0001-05;RUA SARGENTO  CUNHA;101;;BANDEIRANTES;36047-010;GLP;20/04/2026;113;;R$ / 13 kg;SUPERGASBRAS ENERGIA
NE;MA;IMPERATRIZ;VERA E BRITO LTDA; 06.234.242/0001-26;AVENIDA INDUSTRIAL;599;ANEXO 1;BOM SUCESSO;65900-970;GLP;20/04/2026;120;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;SP;ARACATUBA;FERNANDA PEDAO DA SILVA; 24.727.717/0001-06;AVENIDA PRESTES MAIA;1434;;AMIZADE;16074-325;GLP;20/04/2026;98;;R$ / 13 kg;SUPERGASBRAS ENERGIA
NE;AL;ARAPIRACA;PLANALTO GAS LTDA EPP; 23.902.470/0001-46;RUA JOSE TIMOTEO DE AMORIM;1901;LETRA A;SANTA ESMERALDA;57312-029;GLP;21/04/2026;110;;R$ / 13 kg;NACIONAL GÁS BUTANO
S;RS;LAJEADO;CLAUDIMIR DA SILVA  PORTELA; 14.954.199/0001-00;RUA ENCANTADO;66;;PLANALTO;95900-010;GLP;21/04/2026;125;;R$ / 13 kg;LIQUIGÁS
NE;SE;NOSSA SENHORA DO SOCORRO;VALTENES ESTEVES DE ALMEIDA GAS; 25.029.787/0001-45;RUA CANAA;644;LOTE CAJ;CONJUNTO MARCOS FREIRE II;49160-000;GLP;23/04/2026;112;;R$ / 13 kg;NACIONAL GÁS BUTANO
CO;GO;APARECIDA DE GOIANIA;JANAINA LUCIANO DA ROCHA 02969298678; 24.498.049/0001-84;AVENIDA SENADOR  PEDRO LUDOVICO TEIXEIRA;S/N;QUADRA 52 LOTE 07;ILDA;74935-830;GLP;21/04/2026;120;;R$ / 13 kg;SUPERGASBRAS ENERGIA
NE;RN;NATAL;NICOLAS RIBEIRO PACHECO; 23.238.302/0001-06;RUA ADOLFO GORDO;2199;;CIDADE DA ESPERANÇA;20436-165;GLP;21/04/2026;97;;R$ / 13 kg;LIQUIGÁS
CO;MS;CAMPO GRANDE;AUTO POSTO SAO JORGE LTDA; 15.144.169/0001-92;AVENIDA GUAICURUS;6941;;JARDIM CENTENARIO;79076-022;GLP;20/04/2026;108;;R$ / 13 kg;NACIONAL GÁS BUTANO
NE;BA;CAETITE;ANDERSON SILVEIRA ROCHA GUMES; 23.702.149/0001-18;AVENIDA WALDICK SORIANO;43;;BUENOS AIRES;46400-000;GLP;22/04/2026;105;;R$ / 13 kg;BRANCA
SE;SP;SAO PAULO;JM ULTRAAZUL COMERCIO DE GAS LTDA; 23.785.055/0001-50;ESTRADA DA BARONESA;84;;PARQUE BOLOGNE;04941-172;GLP;23/04/2026;140;;R$ / 13 kg;ULTRAGAZ
SE;SP;BIRIGUI;A. DE PAULO PADILHA GÁS ME; 07.853.502/0001-04;RUA   MANOEL MARIN BERBEL;2011;;VILA ISABEL MARIN;16204-044;GLP;23/04/2026;105;;R$ / 13 kg;BRANCA
SE;SP;SAO PAULO;PR DAUAN COMERCIO DE GAS LTDA; 23.749.702/0001-78;AVENIDA PEDRO BUENO;1735;;JABAQUARA;04342-011;GLP;20/04/2026;109,99;;R$ / 13 kg;LIQUIGÁS
SE;ES;SERRA;CONSI SERRA COMERCIO DE GAS LTDA; 25.346.565/0001-56;AVENIDA D;19;;MANOEL PLAZA;29160-444;GLP;20/04/2026;98;;R$ / 13 kg;BRANCA
SE;SP;BAURU;DAVI SIMOES PEREIRA COMERCIO DE GLP; 24.963.429/0001-42;RUA LUIZ PEREIRA DA SILVA;46228;;VILA SAO PAULO;17022-111;GLP;20/04/2026;115;;R$ / 13 kg;COPA ENERGIA
N;AP;MACAPA;GRAVATINHA GAS LTDA; 01.470.539/0012-20;RUA VEREADOR  JULIO MARIA PINTO PEREIRA;850;;JARDIM FELICIDADE;68909-000;GLP;21/04/2026;126;;R$ / 13 kg;LIQUIGÁS
SE;ES;LINHARES;L B COMERCIO DISTRIBUIDOR DE GAS LTDA ME; 25.199.962/0001-42;AVENIDA   JOSÉ ARMANI;SN;;LINHARES V;29905-190;GLP;20/04/2026;115;;R$ / 13 kg;BRANCA
SE;SP;ATIBAIA;MR DISTRIBUIDORA DE AGUA E BEBIDAS LTDA; 25.372.074/0001-80;AVENIDA DONA GERTRUDES;264;;ALVINOPOLIS;12942-540;GLP;22/04/2026;115;;R$ / 13 kg;FOGAS
CO;MT;ALTA FLORESTA;FLASH COMERCIO DE GAS LTDA; 25.018.970/0001-45;RUA H-1;S/N;QUADRA01                  LOTE  04;CENTRO;78580-000;GLP;23/04/2026;140;;R$ / 13 kg;FOGAS
N;AM;MANAUS;RENATO PALHENA DE SOUZA ME; 23.281.676/0001-04;RUA   CARIRÉ;35;;NOVO ALEIXO;69098-000;GLP;21/04/2026;123;;R$ / 13 kg;FOGAS
SE;MG;BELO HORIZONTE;CHAME GAS LTDA; 22.072.737/0001-52;RUA AQUIDABAN;1051;;PADRE EUSTAQUIO;30720-420;GLP;20/04/2026;129;;R$ / 13 kg;BRANCA
CO;GO;TRINDADE;ZAQUEU DA SILVA CARDOSO 73565822104; 24.033.275/0001-90;RUA FILOGOMES ALVES DE CARVALHO;0;QD 3 LOTE 1 A;SETOR VIDA NOVA;75393-717;GLP;22/04/2026;105;;R$ / 13 kg;LIQUIGÁS
NE;PI;TERESINA;J MATOS & CAVALCANTE COMÉRCIO DE GÁS LIGUEFEITO LTDA ME; 24.966.604/0001-55;RUA WASHINGTON LUÍS;2127;;LOURIVAL PARENTE;64023-350;GLP;20/04/2026;100;;R$ / 13 kg;NACIONAL GÁS BUTANO
NE;BA;JACOBINA;O G DE OLIVEIRA NETO & CIA LTDA ME; 25.323.039/0001-70;AV JOAO FRAGA BRANDAO;493;;PERU;44700-000;GLP;20/04/2026;135;;R$ / 13 kg;SUPERGASBRAS ENERGIA
CO;GO;AGUAS LINDAS DE GOIAS;ELTON G. DE SANTANA - DISTRIBUIDORA - ME; 21.589.515/0001-49;Q QUADRA 32;S/N;LOTE 01SALA 01 RUA 16;JARDIM DA BARRAGEM II;72920-100;GLP;20/04/2026;115;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;MG;SETE LAGOAS;MATHEUS HENRIQUE SOARES AZEVEDO 13787664661; 24.120.364/0001-73;RUA   UBERLÂNDIA;1138;;CATARINA;35700-237;GLP;20/04/2026;109,9;;R$ / 13 kg;COPA ENERGIA
SE;SP;SAO PAULO;NASA GAS LTDA; 25.276.558/0001-25;AVENIDA ENGENHEIRO  QUEIRÓS TELES;114;;JARDIM D'ABRIL;05399-030;GLP;22/04/2026;124,99;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;RJ;NOVA IGUACU;R GODOY FIGUEIREDO REVENDEDORA DE GAS LTDA EPP; 26.077.335/0001-00;RUA   AILTON DINIZ MACHADO;170;QD  B LT 5A;SANTA EUGÊNIA;26286-260;GLP;20/04/2026;105;;R$ / 13 kg;ULTRAGAZ
S;PR;CAMPO MOURAO;JORGE BONIFACIO COMERCIO DE GAS; 25.282.739/0001-64;RUA SANTOS DUMONT;2278;;JD SANTA NILCE I;87303-281;GLP;23/04/2026;125;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;RJ;RIO DE JANEIRO;SADYGAS DISTRIBUIDORA DE GAS LTDA - ME; 24.251.866/0001-33;RUA CORONEL  BRANDÃO;19;LOJA A21;SÃO CRISTÓVÃO;20920-020;GLP;20/04/2026;97;;R$ / 13 kg;BRANCA
S;RS;SANTO ANGELO;EVARISTO I. C. FURIAN; 04.045.417/0002-02;TRAVESSA CARLOS FELDMANN;275;;OLIVEIRA;98801-345;GLP;23/04/2026;125;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;SP;SANTO ANDRE;SPEDDY COMERCIO DE GAS LTDA ME; 21.296.979/0001-67;AVENIDA QUEIRÓS FILHO;500;;VILA GUARACIABA;09121-587;GLP;22/04/2026;105;;R$ / 13 kg;SUPERGASBRAS ENERGIA
N;PA;BELEM;POSTO GONCALVES LTDA; 26.255.957/0001-72;RUA ANTONIO BARRETO;1380;;UMARIZAL;66060-020;GLP;20/04/2026;115;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;ES;LINHARES;JALDECIR PEREIRA FRANCISCO LTDA; 21.066.926/0001-50;AVENIDA   TUPINAMBÁS;374;;LAGOA DO MEIO;29904-025;GLP;20/04/2026;110;;R$ / 13 kg;BRANCA
SE;MG;JUIZ DE FORA;MARCIO MARTINS TOLENTINO; 24.349.041/0001-56;AVENIDA BRASIL;7145;GALPAO 101;MARIANO PROCÓPIO;36080-060;GLP;20/04/2026;99,99;;R$ / 13 kg;BRANCA
SE;MG;TEOFILO OTONI;DISTRIBUIDORA DE GAS VESPERMANN LTDA; 06.951.302/0007-17;RUA CONCÓRDIA;366;;CENTRO;39804-245;GLP;22/04/2026;135;;R$ / 13 kg;NACIONAL GÁS BUTANO
NE;CE;SOBRAL;ROMARIO AGUIAR PARENTE; 23.253.576/0003-28;AVENIDA CEL. JOSE EUCLIDES FERREIRA GOMES;1089;;CORACAO DE JESUS;62043-070;GLP;22/04/2026;105;;R$ / 13 kg;BAHIANA
N;PA;SANTAREM;D INOMATA CARVALHO LTDA; 03.903.920/0001-08;AVENIDA MUIRAQUITA (PROX. 5A URE);5;;SANTISSIMO;68010-680;GLP;22/04/2026;100;;R$ / 13 kg;BRANCA
SE;MG;BELO HORIZONTE;AGUIA GAS E AGUA LTDA - ME; 20.531.319/0002-31;RUA   PARÁ DE MINAS;252;;PADRE EUSTÁQUIO;30730-440;GLP;20/04/2026;115;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;ES;CARIACICA;ZEZINHO GAS DISTRIBUIDORA LTDA; 25.992.432/0001-57;RUA ANTONIO GATTI;105;PAVMTO01;ORIENTE;29150-590;GLP;22/04/2026;100;;R$ / 13 kg;BRANCA
SE;SP;SAO CARLOS;MRGAS COMERCIO E TRANSPORTE LTDA; 08.379.543/0009-20;AVENIDA BRUNO RUGGIERO FILHO;1700;;PARQUE SANTA FELICIA JARDIM;13562-420;GLP;22/04/2026;135;;R$ / 13 kg;LIQUIGÁS
SE;RJ;RESENDE;CENTRAL COMERCIO DE GLP LTDA; 24.980.869/0001-08;AVENIDA TENENTE-CORONEL ADALBERTO MENDES;1370;;SANTA ISABEL;27522-240;GLP;20/04/2026;127;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;SP;MAUA;POLIANA RODRIGUES DO NASCIMENTO 41239846819; 26.065.001/0001-08;AVENIDA DOUTOR  GETÚLIO VARGAS;447;B;VILA GUARANI;09310-180;GLP;22/04/2026;114,99;;R$ / 13 kg;CONSIGAZ
NE;SE;NOSSA SENHORA DO SOCORRO;BK COMERCIO VAREJISTA DE BOTIJOES LTDA ME; 25.079.378/0001-53;RUA A-28;242;QD 163 LT 23/24;CONJ MARCOS FREIRE II;49160-000;GLP;23/04/2026;110;;R$ / 13 kg;LIQUIGÁS
SE;SP;BARRETOS;SOUSA & TERENCIO COMERCIO DE GAS LTDA; 26.529.674/0001-71;AVENIDA 43;30;;CENTRO;14780-420;GLP;20/04/2026;120;;R$ / 13 kg;CONSIGAZ
N;RO;PORTO VELHO;AUTO POSTO LONDON LTDA; 11.062.711/0001-07;AVENIDA GUAPORE;4513;;FLODOALDO PONTES PINTO;76820-539;GLP;20/04/2026;123;;R$ / 13 kg;FOGAS
SE;SP;OURINHOS;GASPAROTO COMERCIO DE GAS LTDA; 25.336.692/0001-74;RUA   HERMINIO JOAQUIM DOS REMÉDIOS;584;;VILA CALIFÓRNIA;19915-070;GLP;22/04/2026;115;;R$ / 13 kg;ULTRAGAZ
SE;MG;PARA DE MINAS;PARA GAS COMERCIO DE AGUA E GAS LTDA; 26.122.977/0001-75;RUA MERCEDES FERREIRA;141;;SANTOS DUMONT;35660-328;GLP;23/04/2026;100;;R$ / 13 kg;COPA ENERGIA
N;AM;MANAUS;EDGAR FERNANDES DOS SANTOS; 19.065.516/0001-42;RUA CORONEL  TABORDA DE MIRANDA;23;NUCLEO 3 QUADRA 117;CIDADE NOVA;69094-270;GLP;20/04/2026;128;;R$ / 13 kg;FOGAS
S;PR;FOZ DO IGUACU;IGUACU GAS E ALIMENTOS LTDA; 05.509.943/0002-49;RUA CASSIANO RICARDO;282;;VILA PORTES;85865-050;GLP;22/04/2026;109,99;;R$ / 13 kg;SUPERGASBRAS ENERGIA
NE;PB;CAMPINA GRANDE;J BATISTA RAMOS DE CARVALHO COMERCIO LTDA; 11.807.239/0006-07;RUA MANOEL DO Ó JUNIOR;241;QD 160 LT 02 E 3;CRUZEIRO;58106-175;GLP;22/04/2026;105;;R$ / 13 kg;COPA ENERGIA
N;PA;MARABA;TEDESCO PAIM COMERCIO DE GAS LTDA; 25.276.121/0001-91;QUADRA   UM;SN;LOTE 02 E 03;NOVA MARABÁ;68513-230;GLP;20/04/2026;117;;R$ / 13 kg;SUPERGASBRAS ENERGIA
CO;GO;RIO VERDE;PRIMOS DISTRIBUIDORA DE GAS E AGUA LTDA.; 25.322.745/0001-06;RUA EURICO GASPAR DUTRA;801;QUADRA34                  LOTE  08/B;VILA BORGES PROLONGAMENTO A;75902-850;GLP;20/04/2026;130;;R$ / 13 kg;BRANCA
NE;PB;JOAO PESSOA;ELIAS E PATRICIO COMERCIO DE GAS E AGUA LTDA ME; 25.109.649/0001-76;RUA   JOÃO BELO VIEIRA;463;;MANGABEIRA;58056-040;GLP;20/04/2026;105;;R$ / 13 kg;BRANCA
SE;ES;CARIACICA;D C JUNIOR GAS EIRELI ME; 25.448.837/0001-29;RUA   AMÉRICA;17;;VERA CRUZ;29146-782;GLP;22/04/2026;105;;R$ / 13 kg;BRANCA
SE;SP;HORTOLANDIA;TANIA SOARES DOS SANTOS OLIVEIRA 06073592698; 26.004.195/0001-31;AVENIDA SANTANA;1599;;JARDIM AMANDA I;13188-000;GLP;23/04/2026;94,99;;R$ / 13 kg;CONSIGAZ
NE;AL;ARAPIRACA;LUCIENE DOS S SILVA; 24.543.090/0001-25;RUA BOA SORTE;144;;PRIMAVERA;57304-200;GLP;21/04/2026;105;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;SP;SOROCABA;AERO GAS SOROCABA EIRELI; 26.337.793/0001-22;AVENIDA SANTOS DUMONT;712;;JARDIM ANA MARIA;18065-290;GLP;20/04/2026;130;;R$ / 13 kg;ULTRAGAZ
SE;SP;SERTAOZINHO;A.C. BONBONATI & CIA LTDA ME; 71.324.701/0001-24;RUA SEBASTIÃO SAMPAIO;558;;CENTRO;14160-600;GLP;23/04/2026;99,99;;R$ / 13 kg;LIQUIGÁS
SE;MG;BELO HORIZONTE;JONATHAN ALEXANDER RODRIGUES CALIXTO 11149208600; 26.409.591/0001-49;RODOVIA MG-5;912;;IPE;31930-010;GLP;20/04/2026;104,99;;R$ / 13 kg;BRANCA
S;PR;COLOMBO;DANIEL COMERCIO DE GAS LTDA; 26.524.085/0001-09;RUA ABEL SCUISSIATO;2466;;ATUBA;83408-280;GLP;22/04/2026;97;;R$ / 13 kg;CONSIGAZ
NE;BA;LIVRAMENTO DE NOSSA SENHORA;SAMUEL DIAS SILVA; 24.583.276/0001-08;AVENIDA GONÇALO PEREIRA E SILVA;380;;ESTOCADA;46140-000;GLP;23/04/2026;115;;R$ / 13 kg;LIQUIGÁS
CO;MS;CORUMBA;F. A. H. M. MUSTAFA LTDA; 02.984.590/0002-40;RUA   DELFINO SCAFFA;5363;;CONJUNTO GUATOS;79321-010;GLP;20/04/2026;138;;R$ / 13 kg;NACIONAL GÁS BUTANO
CO;GO;MINEIROS;LIONEI FRAGA RIBEIRO ME; 26.438.634/0001-14;AVENIDA SÃO JOÃO;SN;QUADRA 214 LOTE 18;NOSSA SENHORA APARECIDA;75830-000;GLP;20/04/2026;138;;R$ / 13 kg;LIQUIGÁS
SE;SP;LORENA;ANTONIO MARASSI JUNIOR 33689929881; 26.208.326/0001-00;RUA   ANTÔNIO HADDAD;852;;SANTO ANTÔNIO;12608-675;GLP;23/04/2026;95;;R$ / 13 kg;LIQUIGÁS
NE;BA;SALVADOR;L. DA S. FARIAS GAS; 26.907.679/0001-90;TRAVESSA DO MEIO;61;;ITAPUA;41610-775;GLP;22/04/2026;124,99;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;MG;CORONEL FABRICIANO;FERNANDO DE SOUZA VIEIRA; 26.667.503/0001-09;RUA   PIAUÍ;44;;CALADINHO;35171-170;GLP;23/04/2026;135;;R$ / 13 kg;BRANCA
SE;MG;IPATINGA;EDIMAR PATRICIO BARBOSA 05982897639; 23.011.239/0001-62;AVENIDA GERASA;2286;;BETHANIA;35164-056;GLP;23/04/2026;120;;R$ / 13 kg;BRANCA
SE;SP;ARARAS;ISABEL DIAS TORRES FAVARO 05729064802; 24.520.144/0001-37;RUA CEARA,;71;;PARQUE INDUSTRIAL;13601-338;GLP;20/04/2026;115;;R$ / 13 kg;COPA ENERGIA
SE;SP;BOTUCATU;ZILO COMERCIO DE GAS LTDA; 06.124.988/0003-49;RUA GREGORIO PEDRO GARCIA;286;;JARDIM ITAMARATI;18608-012;GLP;22/04/2026;110;;R$ / 13 kg;BRANCA
NE;BA;ALAGOINHAS;J.V.J COMERCIO DE GAS LTDA; 22.624.755/0002-80;RUA SAO MARCOS;29;SALA 02;JARDIM PETROLAR;48100-010;GLP;23/04/2026;125;;R$ / 13 kg;BAHIANA
SE;SP;LIMEIRA;FELIPE GABRIEL DITRIH FURLAN 41195689896; 14.267.656/0001-80;RUA   ANTONIO FURLAN;11;FUNDOS;VILA TEIXEIRA MARQUES;13485-141;GLP;20/04/2026;100;;R$ / 13 kg;CONSIGAZ
NE;PE;VITORIA DE SANTO ANTAO;J M J COMERCIO DE GAS E OXIGENIO LTDA; 14.727.740/0009-96;RUA DO BORGES;705;TERREO;MATRIZ;55602-030;GLP;23/04/2026;100;;R$ / 13 kg;COPA ENERGIA
SE;RJ;VOLTA REDONDA;GAS SAO GERALDO LTDA; 10.255.976/0001-69;RUA CAPITAO BENEDITO LOPES BRAGANCA;241;;SAO GERALDO;27253-510;GLP;20/04/2026;99,99;;R$ / 13 kg;SUPERGASBRAS ENERGIA
CO;MT;CUIABA;VANDA MARIA GUIMARÃES ARECO 61690198168; 24.873.472/0001-17;AVENIDA PROFESSORA  EDNA MARIA DE ALBUQUERQUE AFFI;2;QUADRA 08;JARDIM IMPERIAL II;78076-001;GLP;20/04/2026;130;;R$ / 13 kg;COPA ENERGIA
N;PA;ABAETETUBA;ORSI GAS LTDA; 26.690.653/0001-33;RODOVIA DR. JOAO MIRANDA;SN;KM 0;SANTA ROSA;68440-000;GLP;22/04/2026;118;;R$ / 13 kg;COPA ENERGIA
SE;RJ;RIO DE JANEIRO;RIACHUELO COMERCIO DE GAS LTDA; 26.629.092/0001-67;RUA ANA NERI;1020;1020 A;ROCHA;20960-005;GLP;20/04/2026;100;;R$ / 13 kg;BRANCA
NE;RN;NATAL;L DE A CARLOS - ME; 26.174.575/0001-14;RUA   HENRIQUE DIAS;140;A;BOM PASTOR;59060-170;GLP;21/04/2026;110;;R$ / 13 kg;LIQUIGÁS
SE;SP;SAO JOSE DO RIO PRETO;MARIA APARECIDA DA SILVA 13339491895; 27.012.682/0001-09;RUA   ANGÉLICA COLINO PAES DE ALMEIDA;200;;PARQUE DAS AROEIRAS;15042-090;GLP;20/04/2026;120;;R$ / 13 kg;ULTRAGAZ
SE;RJ;DUQUE DE CAXIAS;L M M COMERCIO DE GAS DE SANTA CRUZ DA SERRA EIRELI ME; 27.034.641/0001-13;AVENIDA AUTOMÓVEL CLUBE;S/N;QUADRA 40 LOTE 28;VILA SANTA CRUZ;25255-030;GLP;21/04/2026;105;;R$ / 13 kg;SUPERGASBRAS ENERGIA
CO;GO;TRINDADE;PANTALEAO GLP LTDA; 27.108.918/0001-05;AVENIDA RUI BARBOSA;1468;QUADRA13                  LOTE  11;SETOR JARDIM MARISTA;75383-498;GLP;22/04/2026;94,99;;R$ / 13 kg;BRANCA
S;SC;CACADOR;PAULO ROGERIO ROSALEN; 21.937.108/0001-85;RUA SENADOR SALGADO FILHO;920;;CENTRO;89500-296;GLP;21/04/2026;130;;R$ / 13 kg;BRANCA
S;PR;CAMPO MOURAO;ANDRE FELIPE NICOLAU DOS SANTOS MERCEARIA; 24.323.949/0001-90;RUA ENGENHEIRO MERCER;1220;;CONJUNTO HABITACIONAL PRIMAVERA;87308-168;GLP;22/04/2026;125;;R$ / 13 kg;BRANCA
N;AM;MANAUS;AT TRANSPORTE E COMERCIO DE BEBIDAS LTDA; 23.870.200/0001-09;RUA CORONEL FERREIRA DE ARAUJO;809;ANDAR ALTOS;PETROPOLIS;69063-000;GLP;20/04/2026;123;;R$ / 13 kg;AMAZONGÁS
NE;BA;SERRINHA;CENTRAL COMERCIO DE GAS EIRELI - ME; 26.536.992/0001-60;RUA 25 DE DEZEMBRO;747;;OSEAS;48700-000;GLP;20/04/2026;125;;R$ / 13 kg;LIQUIGÁS
S;PR;CAMPO MOURAO;LIDER GAS LTDA; 27.152.352/0001-19;AVENIDA PERIMETRAL PRESIDENTE TANCREDO DE ALMEIDA NEVES;3785;;JARDIM BANDEIRANTES;87308-395;GLP;23/04/2026;118;;R$ / 13 kg;NACIONAL GÁS BUTANO
